Species,GC%
Armigeres iflavirus,39.4
Betaarterivirus suid 2,52.8
Chikungunya virus,50
Dengue virus,46.7
Enterovirus A,47.2
Enterovirus B,47.9
Enterovirus C,45.7
Enterovirus D,42.8
Foot-and-mouth disease virus,53.75
Gill-associated virus,46.2
Hepacivirus C,56.9
Human coronavirus HKU1,32.1
Japanese encephalitis virus,51.4
Middle East respiratory syndrome-related coronavirus,41.2
Norwalk virus,56.7
Orthohepevirus A,55.5
Porcine epidemic diarrhea virus,41.8
Porcine reproductive and respiratory syndrome virus,51.52
Redspotted grouper nervous necrosis virus,52.62
Rhinovirus A,38.6
Rhinovirus C,42.8
Sapporo virus,51.1
Severe acute respiratory syndrome-related coronavirus,40.8
Sindbis virus,51
Zika virus,51.3
