coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
41182c5f-55d2-4fb3-98cf-42c8166b6acc,http://n2t.net/ark:/65665/m31a27527e-4377-40d3-8496-b847bed060dd,2020-07-24T21:57:09.160536+00:00,0.36363636363636365,89d93ac749da9b3585b533e36fa7bb302c55b6cf,"[""dwc_basisofrecord_invalid""]","tiff, jpeg, jpeg, jpeg, jpeg",true,,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=13002214""]","[""41182c5f-55d2-4fb3-98cf-42c8166b6acc""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,,,image,5a635d79-6b82-451e-b475-bdc5fa87e8e4,,,3604,5665
fc5b4a21-62af-4b6a-b3e8-4db940570faf,http://n2t.net/ark:/65665/m3ebd3d136-6b3e-433f-aafa-266d6f0347e2,2020-07-24T21:57:09.160536+00:00,0.36363636363636365,55508b26cc50b79ef13cef475455d4c4ac6814b0,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.mnh.si.edu/media/index.php?irn=5002650"", ""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=5002650""]","[""fc5b4a21-62af-4b6a-b3e8-4db940570faf""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,,,image,61321b8a-3352-49e7-a79b-409020d2db45,,,819,1627
0bfab92f-8a9e-4db5-9fd0-e5c7988317ff,http://n2t.net/ark:/65665/m36604c666-f2b5-4d35-bb5a-52caf85fe241,2020-08-23T10:06:53.418965+00:00,0.6363636363636364,d9b50cd322fd9d7d2c0417bead769aad435ed1df,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,http://i.creativecommons.org/p/zero/1.0/88x31.png,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=14677397""]","[""0bfab92f-8a9e-4db5-9fd0-e5c7988317ff""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,CC0,,image,7bb49aa2-414f-4c9e-92a8-219a99ca7cb3,,http://creativecommons.org/publicdomain/zero/1.0/,4294,5415
d2989639-292b-4447-a5f2-cefc040fe004,http://n2t.net/ark:/65665/m335741065-b856-4691-bef7-b96f4eaa98ad,2020-08-23T10:06:53.418965+00:00,0.6363636363636364,3cb1c52e8002b97ecc488cf1d3bd87121658f6c8,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,http://i.creativecommons.org/p/zero/1.0/88x31.png,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=14596686""]","[""d2989639-292b-4447-a5f2-cefc040fe004""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,CC0,,image,a8d494e4-f175-41f0-acba-3e7c92d09b80,,http://creativecommons.org/publicdomain/zero/1.0/,4336,5463
f89f008c-a791-408e-b310-3e7a465be6b1,http://n2t.net/ark:/65665/m3ea78ef54-e636-4426-811b-3484f5487b07,2020-08-23T10:06:53.418965+00:00,0.6363636363636364,d89d8a77dba092b907400e3888e18f0834a901c5,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,http://i.creativecommons.org/p/zero/1.0/88x31.png,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=14707005""]","[""f89f008c-a791-408e-b310-3e7a465be6b1""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,CC0,,image,2760c5ea-64cf-4929-bea9-a7198e3446a3,,http://creativecommons.org/publicdomain/zero/1.0/,4356,5542
e2416883-6e59-4375-a20b-68fe0c675527,http://n2t.net/ark:/65665/m3c876ec10-c360-4a63-9212-87e11f9af686,2020-07-24T21:57:09.160536+00:00,0.6363636363636364,6fa12e7cfc3e3c5fab337ee9f0738cdefb908614,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,http://i.creativecommons.org/p/zero/1.0/88x31.png,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=13907612""]","[""e2416883-6e59-4375-a20b-68fe0c675527""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,CC0,,image,8630750e-8031-46a9-baa6-d3a7d7fcad49,,http://creativecommons.org/publicdomain/zero/1.0/,4332,5610
d35fcf5b-7ac4-42ca-b0a0-8012507285cf,http://n2t.net/ark:/65665/m3a60f5c80-3307-4661-a5f4-b75d3a2ef1e0,2020-08-23T10:06:53.418965+00:00,0.6363636363636364,f71a288bd278f4dcc6c11c534ab0453385bf3286,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,http://i.creativecommons.org/p/zero/1.0/88x31.png,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=14677394""]","[""d35fcf5b-7ac4-42ca-b0a0-8012507285cf""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,CC0,,image,f35406f4-8f8b-444e-a308-b876f0707a79,,http://creativecommons.org/publicdomain/zero/1.0/,4252,5271
3d114048-ed60-4fa5-93d5-8ff8388f4f48,http://n2t.net/ark:/65665/m33b45a37e-af81-4ee5-978a-9c4ecf473527,2020-07-24T21:57:09.160536+00:00,0.36363636363636365,93f9a2b9c7707bf02f1c1539c1582cd2e9455278,"[""dwc_basisofrecord_invalid""]","tiff, jpeg, jpeg, jpeg, jpeg",true,,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=13002415""]","[""3d114048-ed60-4fa5-93d5-8ff8388f4f48""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,,,image,428aaa9a-8aea-4427-a225-c83b16fabae5,,,3627,6016
99eaf401-1021-4c2d-8c03-7c96ce6e6ee1,http://n2t.net/ark:/65665/m3111a6ddd-4a3f-491b-b588-395accb2aa83,2020-07-24T21:57:09.160536+00:00,0.6363636363636364,562ca557f6ebaabecef7b303907690aca5b16625,"[""dwc_basisofrecord_invalid""]","jpeg, jpeg, jpeg, jpeg, jpeg",true,http://i.creativecommons.org/p/zero/1.0/88x31.png,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=14401342""]","[""99eaf401-1021-4c2d-8c03-7c96ce6e6ee1""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,CC0,,image,2049b87c-8446-48ff-bae9-fd007acec07d,,http://creativecommons.org/publicdomain/zero/1.0/,4416,5660
ada4042b-a7a4-4985-b565-fcba56f2ffb1,http://n2t.net/ark:/65665/m39bfb983f-228c-45f3-8338-6113ff87dc3b,2020-07-24T21:57:09.160536+00:00,0.36363636363636365,4bf67ef6c525b935cbed584f91c135b1decd8445,"[""dwc_basisofrecord_invalid""]","tiff, jpeg, jpeg, jpeg, jpeg",true,,,,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.mnh.si.edu/media/index.php?irn=10030853"", ""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\media\\http://collections.nmnh.si.edu/media/index.php?irn=10030853""]","[""ada4042b-a7a4-4985-b565-fcba56f2ffb1""]",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,,,image,6ce805f7-8837-45e8-adef-cd2460b8df15,,,2156,4208
