coreid,PreparationProperties,aec:associatedTaxa,chrono:ChronometricAge,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:acceptedNameUsageID,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:organismRemarks,dwc:originalNameUsage,dwc:originalNameUsageID,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:sampleSizeValue,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,flag_encoding_error,gbif:Identifier,gbif:Reference,gbif:identifiedByID,gbif:recordedByID,idigbio:recordId,obis:ExtendedMeasurementOrFact,symbiota:recordEnteredBy,symbiota:verbatimScientificName,zan:ChronometricDate
dbbd6b6d-1eb2-4517-be56-7a3548037ec6,,,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,139514,Actinopterygii,,Fishes,,,,,Philippines,,,,,NMNH Extant Biology,,24,,,,,,,,,,83,,,,,,Carangidae,,,,,,,Trachinotus,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae","Pacific, Philippines, Philippine Archipelago, Pandanon Island",,,,,,,,,6,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,Pandanon Island,,Animalia,,,,,,,,,Pandanan Island; Between Cebu and Bohol,,,,,,,,,,,,3,,,,,,,,,http://n2t.net/ark:/65665/332753aae-3d10-4d34-a2c2-c755fd8f0756,"Ledger=Linen Tag 21798-21801, but the one is definitely not ""21801"" rather it is 21810.",,Perciformes,,,,,,,,,,,Chordata,,,,,,,,,,,,Trachinotus blochii,,,,blochii,83,,,,,,,,,,,,1909 Mar 24 - 0000 00 00,,,,,,,Pacific,1909,,,,,,,,,,
c38b17d7-8f16-4a99-9a45-d003c3c417dc,,,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,184079,Malacostraca,,Invertebrate Zoology,,,,,Philippines,,,,,NMNH Extant Biology,,,9.33,123.17,,,,,,,,121,,,,,,Penaeidae,,,,,,,Penaeus,,,"unknown, from legacy",,,,,,,,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Dendrobranchiata, Penaeidae","North Pacific Ocean, Philippines, Negros Oriental",,,,,,,,"Perez Farfante, Isabel, National Oceanographic And Atmospheric Administration",1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Negros Island, Tanon Strait, Binoy",,,,,,,,,,,,4,,,,,,,,,http://n2t.net/ark:/65665/396ed18d4-0895-4268-80ef-6757c1ba3c85,,,Decapoda,,,,,,,,,,,Arthropoda,,Dry,,,Fishermen,,,,,,,Penaeus monodon,Fabricius,,female,monodon,121,Negros Oriental,,,,,,,Degrees Minutes Seconds,,,,-- APR 1980,,,,,,,North Pacific Ocean,1980,,,,,,,,,,
ace88983-8701-4ca8-8906-f16f9469f89e,,,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,139516,Actinopterygii,,Fishes,,,,,Philippines,,,,,NMNH Extant Biology,,15,,,,,,,,,,350,,,,,,Carangidae,,,,,,,Trachinotus,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae","Pacific, Philippines, Palawan, Philippine Archipelago, Busuanga Island",,,,,,,,,2,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,Busuanga Island,,Animalia,,,,,,,,,Port Caltom; Busuanga Island,,,,,,,,,,,,12,,,,,,,,,http://n2t.net/ark:/65665/30c8c2965-69cc-40a1-97d5-ffd9023e63b1,,,Perciformes,,,,,,,,,,,Chordata,,,,,,,,,,,,Trachinotus blochii,,,,blochii,350,Palawan,,,,,,,,,,,,,,,,,,Pacific,1908,,,,,,,,,,
9a4c6232-9927-4695-81dd-52890a4c54b7,,,,,,,,,,,,,,PhysicalObject,,,,,,,,10334054; 10334055,,,,,,PreservedSpecimen,,,194907,Actinopterygii,,Fishes,,,,,Philippines,,,,,NMNH Extant Biology,,,,,,,,,,,,,,,,,,Carangidae,,,,,,,Trachinotus,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae","Pacific, Philippines",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Philippines, Cebu Mkt.",,TT 8421,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/34cbfed04-123e-40a5-b89f-6b3e8d685943,,,Perciformes,,,,,,,,,,,Chordata,,,,,,,,,,,,Trachinotus blochii,,,,blochii,,,,,,,,,,,,,0000 00 00 - 0000 00 00,,,,,,,Pacific,,,,,,,,,,,
cfdfa299-853f-44c2-b03e-ce1ef88570d5,,,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,286947,Malacostraca,,Invertebrate Zoology,,,,,Philippines,,,,,NMNH Extant Biology,,,,,,,,,,,,,,,,,,Penaeidae,,,,,,,Penaeus,,,,,,,,,,,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Dendrobranchiata, Penaeidae","North Pacific Ocean, Philippines, Rizal",,,,,,,,"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History",1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Luzon Island, Manila",,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/351ec6cd7-f403-4688-bba1-cfc3f4a19770,,,Decapoda,,,,,,,,,,,Arthropoda,,Alcohol (Ethanol),,,E. Mearns,,,,,,,Penaeus monodon,Fabricius,,male,monodon,,Rizal,,,,,,,,,,,-- --- ----,,,,,,,North Pacific Ocean,,,,,,,,,,,
e4194f18-c887-43fc-9462-06865314c0a3,,,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,170513,Actinopterygii,,Fishes,,,,,Philippines,,,,,NMNH Extant Biology,,,,,,,,,,,,,,,,,,Carangidae,,,,,,,Trachinotus,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Carangidae","Pacific, Philippines",,,,,,,,,3,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,P.I.: Matnog Bay,,TT 8605; TT 8606; TT 8607,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/3e56f17c3-8b06-4f57-96a0-1ad3cf99c254,,,Perciformes,,,,,,,,,,,Chordata,,Unknown,,,,,,,,,,Trachinotus blochii,,,,blochii,,,,,,,,,,,,,0000 00 00 - 0000 00 00,,,,,,,Pacific,,,,,,,,,,,
39fa6e45-76d7-4dfc-b540-71460cf80c77,,,,,,,,,,,,,,PhysicalObject,,,,,,,,14707005,,,,,,PreservedSpecimen,,,125189,Mammalia,,Mammals,,Asia,,,Philippines,,,,,NMNH Extant Biology,,,,,,,,,,,,,,,,,,Bovidae,,,,,,,Bubalus,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Artiodactyla, Bovidae, Bovinae","Asia, Philippines, Mindanao",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,Mindanao,,Animalia,,,,,,,,,Zamboanga,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/377217a30-23ab-48eb-ae64-580767fbc226,,,Artiodactyla,,,,,,,,,,,Chordata,,Partial Skull,,5742,E. Mearns,,,,,,,Bubalus bubalis,,,Male,bubalis,,,,,,,,,,,,,-- -- 1903,,,,,,,,1903,,,,,,,,,,
1de11422-4b26-402d-bfb4-2b6d8ca755ff,,,,,,,,,,,,,,PhysicalObject,,,,,,,,14480092,,,,,,PreservedSpecimen,,,399509,Mammalia,,Mammals,,Asia,,,Philippines,,,,,NMNH Extant Biology,,,,,,,,,,,,,,,,,,Cercopithecidae,,,,,,,Macaca,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cercopithecidae, Cercopithecinae","Asia, Philippines",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://n2t.net/ark:/65665/335cdea93-c125-47e1-9ec1-8e4f944e112a,,,Primates,,,,,,,,,,,Chordata,,Skin,,FM 1008,Collector Unknown,,,,,,,Macaca fascicularis,,,Unknown,fascicularis,,,,,,,,,,,,,-- -- ----,,,,,,,,,,,,,,,,,,
ff24e0f6-372f-4bdb-9540-1b6db0aa3585,,,,,,,,,,,,,,PhysicalObject,,,,,,,,14401342,,,,,,PreservedSpecimen,,,458731,Mammalia,,Mammals,,Asia,,,Philippines,,,,,NMNH Extant Biology,,22,,,,,,,,,,112,,,,,,Cercopithecidae,,,,,,,Macaca,,,,,,,,,,Ecological remarks by collector(s): yes,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cercopithecidae, Cercopithecinae","Asia, Philippines, Leyte Province, Maripipi Island",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,Maripipi Island,,Animalia,,,,,,,,,Maripipi,,,,,,,,,,,,4,,,,,,,,,http://n2t.net/ark:/65665/39fb4f8a9-3f02-4954-b20b-ec7c1ff37d0b,,,Primates,,,,,,,,,,,Chordata,,Skull,,PDH 3438,P. Heideman,,,,,,,Macaca fascicularis,,,Unknown,fascicularis,112,Leyte Province,,,,,,,,,,,22 Apr 1987,,,,,,,,1987,,,,,,,,,,
d09449c9-31b5-4ee6-b201-5335420ef28a,,,,,,,,,,,,,,PhysicalObject,,,,,,,,14401357,,,,,,PreservedSpecimen,,,459064,Mammalia,,Mammals,,Asia,,,Philippines,,,,,NMNH Extant Biology,,7,10.7667,124.817,,,,,,,,97,,,,,,Pteropodidae,,,,,,,Eonycteris,,,,,,,,,,Ecological remarks by collector(s): yes,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Pteropodidae","Asia, Philippines, Leyte Province, Leyte Island",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,Leyte Island,,Animalia,,,,,,,,,"Baybay, 8.5 Km N, 2.5 Km E, Mt. Pangasugan",,,,,,,,,,500.0,,4,,,,,,,,,http://n2t.net/ark:/65665/3390dc3f1-91fa-42f1-afe2-761ed288a04c,,,Chiroptera,,,,,,,,,,,Chordata,,Fluid,,LRH 3135,L. Heaney,,,,,,,Eonycteris spelaea,,,Female,spelaea,97,Leyte Province,,,,,,,Degrees Minutes Seconds,,,,7 Apr 1987,10 46 00 N,,124 49 00 E,,,,,1987,,,,,,,,,,
