Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
MT489238,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),233,GenBank,,,,,,"UNVERIFIED: Porcine reproductive and respiratory syndrome virus 2 isolate 6 NSP2-like gene, partial sequence"
MT489239,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),178,GenBank,,,,,,"UNVERIFIED: Porcine reproductive and respiratory syndrome virus 2 isolate 9 NSP2-like gene, partial sequence"
MZ505614,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1485,GenBank,II,,Homo sapiens,blood,,"Dengue virus 4 isolate HCBD497 polyprotein, envelope protein E region, (POLY) gene, partial cds"
MZ505716,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,I,,Homo sapiens,blood,,"Dengue virus 3 isolate HCBD3385 polyprotein, envelope protein E region, (POLY) gene, partial cds"
MZ505717,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,I,,Homo sapiens,blood,,"Dengue virus 3 isolate HCBD3386 polyprotein, envelope protein E region, (POLY) gene, partial cds"
MZ505719,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,I,,Homo sapiens,blood,,"Dengue virus 3 isolate HCBD3500 polyprotein, envelope protein E region, (POLY) gene, partial cds"
MZ505720,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1479,GenBank,III,,Homo sapiens,blood,,"Dengue virus 3 isolate HCBD3575 polyprotein, envelope protein E region, (POLY) gene, partial cds"
MW596323,,Rhizoctonia solani alphavirus-like 4,Alphavirus,Togaviridae,ssRNA(+),7838,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani alphavirus-like 4 isolate 7388_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MW596324,,Rhizoctonia solani beny-like virus 4,,Benyviridae,ssRNA(+),1026,GenBank,,,,,,"Rhizoctonia solani beny-like virus 4 isolate 16923_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MW596325,,Rhizoctonia solani beny-like virus 5,,Benyviridae,ssRNA(+),784,GenBank,,,,,,"Rhizoctonia solani beny-like virus 5 isolate 17636_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MW596326,,Rhizoctonia solani endornavirus,,Endornaviridae,dsRNA,10382,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus isolate 8140_NGS_RS polyprotein (ORF 1) gene, partial cds"
MW596327,,Rhizoctonia solani endornavirus,,Endornaviridae,dsRNA,2488,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus isolate 9432_NGS_RS hypothetical protein gene, partial cds"
MW596328,,Rhizoctonia solani endornavirus 1,,Endornaviridae,dsRNA,19581,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 1 isolate 1507_NGS_RS polyprotein gene, partial cds"
MW596329,,Rhizoctonia solani endornavirus 1,,Endornaviridae,dsRNA,19311,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 1 isolate 1316_NGS_RS polyprotein gene, partial cds"
MW596330,,Rhizoctonia solani endornavirus 1,,Endornaviridae,dsRNA,5397,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 1 isolate 2283_NGS_RS polyprotein gene, partial cds"
MW596331,,Rhizoctonia solani endornavirus 1,,Endornaviridae,dsRNA,4288,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 1 isolate 7349_NGS_RS polyprotein gene, partial cds"
MW596332,,Rhizoctonia solani endornavirus 1,,Endornaviridae,dsRNA,2640,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 1 isolate 10626_NGS_RS polyprotein gene, partial cds"
MW596333,,Rhizoctonia solani endornavirus 1,,Endornaviridae,dsRNA,1635,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 1 isolate 10647_NGS_RS polyprotein gene, partial cds"
MW596334,,Rhizoctonia solani endornavirus 10,,Endornaviridae,dsRNA,8785,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 10 isolate 5930_NGS_RS polyprotein gene, partial cds"
MW596335,,Rhizoctonia solani mitovirus 41,Mitovirus,Mitoviridae,ssRNA(+),594,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani mitovirus 41 isolate 51_NGS_RS RNA-dependent RNA polymerase gene, partial cds"
MW596336,,Rhizoctonia solani mitovirus 42,Mitovirus,Mitoviridae,ssRNA(+),371,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani mitovirus 42 isolate 163_NGS_RS RNA-dependent RNA polymerase gene, partial cds"
MW596337,,Rhizoctonia solani mitovirus 43,Mitovirus,Mitoviridae,ssRNA(+),3870,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani mitovirus 43 isolate 17_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW596340,,Rhizoctonia solani partitivirus 10,,Partitiviridae,dsRNA,1897,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani partitivirus 10 isolate 176_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW596342,,Rhizoctonia solani virus 717,Betapartitivirus,Partitiviridae,dsRNA,1880,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani virus 717 isolate 1542_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW596351,,Rhizoctonia solani megabirnavirus 2,Megabirnavirus,Megabirnaviridae,dsRNA,3509,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani megabirnavirus 2 isolate 4830_NGS_RS coat protein (cp) gene, complete cds; and hypothetical protein (ORF 2) gene, partial cds"
MT544363,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),229,GenBank,,,Sus scrofa,,,"Porcine reproductive and respiratory syndrome virus 2 isolate 12 NSP2-like gene, partial sequence"
MT544364,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),230,GenBank,,,Sus scrofa,,,"Porcine reproductive and respiratory syndrome virus 2 isolate 14 NSP2-like gene, partial sequence"
MT544365,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),232,GenBank,,,Sus scrofa,,,"Porcine reproductive and respiratory syndrome virus 2 isolate 16 NSP2-like gene, partial sequence"
MT544366,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),215,GenBank,,,Sus scrofa,,,"Porcine reproductive and respiratory syndrome virus 2 isolate 22 NSP2-like gene, partial sequence"
MT544367,,Betaarterivirus suid 2,Betaarterivirus,Arteriviridae,ssRNA(+),238,GenBank,,,Sus scrofa,,,"Porcine reproductive and respiratory syndrome virus 2 isolate 41 NSP2-like gene, partial sequence"
MW752173,,Magnaporthe oryzae ourmia-like virus 5,,Botourmiaviridae,ssRNA(+),2792,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae ourmia-like virus 5 isolate 42_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW752174,,Magnaporthe oryzae botourmiavirus 2,,Botourmiaviridae,ssRNA(+),2260,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae botourmiavirus 2 isolate 119_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW752180,,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,dsRNA,3388,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae chrysovirus 1 isolate 437_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MW752181,,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,dsRNA,3214,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae chrysovirus 1 isolate 31_NGS_MO hypothetical protein (hypothetical protein) gene, complete cds"
MW752182,,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,dsRNA,2894,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae chrysovirus 1 isolate 159_NGS_MO hypothetical protein (hypothetical protein) gene, complete cds"
MW752183,,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,dsRNA,2992,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae chrysovirus 1 isolate 86_NGS_MO hypothetical protein (hypothetical protein) gene, complete cds"
MW752184,,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,dsRNA,2582,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae chrysovirus 1 isolate 890_NGS_MO hypothetical protein (hypothetical protein) gene, complete cds"
MW752185,,Pyricularia oryzae ourmia-like virus 2,Ourmiavirus,Botourmiaviridae,ssRNA(+),2186,GenBank,,,,,,"Pyricularia oryzae ourmia-like virus 2 isolate 29_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW752188,,Magnaporthe oryzae botourmiavirus 6,,Botourmiaviridae,ssRNA(+),1634,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae botourmiavirus 6 isolate 18_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, partial cds"
MW752189,,Magnaporthe oryzae botourmiavirus 5,,Botourmiaviridae,ssRNA(+),2591,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae botourmiavirus 5 isolate 98_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW752190,,Magnaporthe oryzae narnavirus 1,Narnavirus,Narnaviridae,ssRNA(+),2431,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae narnavirus 1 isolate 528_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW752191,,Magnaporthe oryzae botourmiavirus 6,,Botourmiaviridae,ssRNA(+),2380,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae botourmiavirus 6 isolate 22_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
