Description,Total Score,Query Cover,E value,Per. ident,Acc. Len
envelope,970,3%,0,100,525
matrix,688,2%,0,100,372
nucleocapsid,411,1%,3.00E-117,100,222
,,,,,
,,,,,
,,,,,
"		",,,,,
